"Nr.zrodla","C","Si","S","P","Mg","Mn","Ni","Cu","Mo","Cr","Al","Sn","B","V","Wydzielenia.grafitu","Udzial.wydzielen.grafitu","Srednica.sferoidow","Wielkosc.sferoidow","Nodularity","Udzial.perlitu","Udzial.ferrytu","Rm.as.cast","A5.as.cast","Minimalna.grubosc.scianki","Temperatura.austenityzacji","Czas.austenityzacji","Temperatura.przemiany.izotermicznej","Czas.przemiany.izotermicznej","Rm","R0.2","A5","Udarnosc.Charpy","Temperatura.pomiaru.udarnosci","Udzial.austenitu","Martensite.volume.fraction.X","Retained.austenite.volume.fraction.X","Twardosc"
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,400,NA,NA,NA,NA,NA,30,NA,NA,NA,900,90,360,60,NA,NA,NA,NA,NA,NA,NA,22,323
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,315,NA,NA,NA,NA,NA,25,NA,NA,NA,900,90,360,60,NA,NA,NA,NA,NA,NA,NA,18.6,319
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,290,NA,NA,NA,NA,NA,20,NA,NA,NA,900,90,360,60,NA,NA,NA,NA,NA,NA,NA,17.7,321
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,110,NA,NA,NA,NA,NA,20,NA,NA,NA,900,90,360,60,NA,NA,NA,NA,NA,NA,NA,12.8,319
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,400,NA,NA,NA,NA,NA,30,NA,NA,NA,900,90,300,60,NA,NA,NA,NA,NA,NA,NA,5.7,324
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,315,NA,NA,NA,NA,NA,25,NA,NA,NA,900,90,300,60,NA,NA,NA,NA,NA,NA,NA,7,320
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,290,NA,NA,NA,NA,NA,20,NA,NA,NA,900,90,300,60,NA,NA,NA,NA,NA,NA,NA,4.6,347
4,3.48,2.31,0.009,0.027,0.043,0.15,0.445,0.45,0.155,0,0,0,0,0,110,NA,NA,NA,NA,NA,20,NA,NA,NA,900,90,300,60,NA,NA,NA,NA,NA,NA,NA,3.6,323
5,3.6,2.24,0.02,0.05,0.06,0.25,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,850,120,350,40,1125,806,6.3,NA,NA,NA,NA,NA,343
5,3.6,2.24,0.02,0.05,0.06,0.25,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,850,120,340,40,1241,1004,5.8,NA,NA,NA,NA,NA,376
5,3.6,2.24,0.02,0.05,0.06,0.25,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,850,120,300,40,1431,1199,2.9,NA,NA,NA,NA,NA,426
5,3.6,2.24,0.02,0.05,0.06,0.25,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,850,120,300,40,1498,1206,2.9,NA,NA,NA,NA,NA,434
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,360,120,870,709,6.3,NA,NA,NA,NA,NA,306
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,360,120,789,657,3.5,NA,NA,NA,NA,NA,298
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,360,120,765,654,2.8,NA,NA,NA,NA,NA,295
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,360,120,790,660,2.5,NA,NA,NA,NA,NA,298
8,3.65,2.25,0.015,0.045,0.045,0.018,1.5,0.8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,900,120,300,120,1024,946,0.5,NA,NA,NA,NA,NA,409
