"C","Mn","Si","P","S","Cr","Ni","Cu","Mg","Rm.as.cast","A5.as.cast","Twardosc"
3.37,0.2,2.32,0.03,0.008,0.001,1.49,0.001,0.039,680.477933333334,8.51936833333333,427
3.37,0.2,2.32,0.03,0.008,0.001,1.49,0.001,0.039,680.477933333334,8.51936833333333,412
3.37,0.2,2.32,0.03,0.008,0.001,1.49,0.001,0.039,680.477933333334,8.51936833333333,447
3.37,0.2,2.32,0.03,0.008,0.001,1.49,0.001,0.039,680.477933333334,8.51936833333333,420
3.37,0.2,2.32,0.03,0.008,0.001,1.49,0.001,0.039,680.477933333334,8.51936833333333,427
3.37,0.2,2.32,0.03,0.008,0.001,1.49,0.001,0.039,680.477933333334,8.51936833333333,452
3.37,0.2,2.32,0.03,0.008,0.001,1.49,0.001,0.039,680.477933333334,8.51936833333333,452
3.46,0.39,2.48,0.02,0.01,0.001,0,0.8,0.043,729.806866666667,6.36298999999999,305
3.46,0.39,2.48,0.02,0.01,0.001,0,0.8,0.043,738.122133333333,5.85092166666665,340
3.46,0.39,2.48,0.02,0.01,0.001,0,0.8,0.043,737.835333333333,5.70674899999999,385
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.223066666667,8.26737199999998,297
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.223066666667,8.26737199999998,297
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.223066666667,8.26737199999998,297
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.223066666667,8.26737199999998,297
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,685.029,8.25172833333331,332
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.6081,8.21883633333331,362
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.5061,8.21412299999998,404
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.3826,8.21412299999998,437
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,679.293866666667,8.31831199999998,290
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,679.293866666667,8.34335199999998,283
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.223066666667,8.26737199999998,297
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,680.223066666667,8.26737199999998,297
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,685.025933333333,8.26415833333331,322
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.5061,8.21412299999998,393
3.59,0.31,2.52,0.024,0.007,0.001,1.53,0.03,0.03,684.3826,8.21412299999998,415
